[17:29:26] b'Temperature: 29.1c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:27] b'Temperature: 29.1c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:27] b'Temperature: 29.1c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:28] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:29] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:30] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:31] b'Temperature: 29.7c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:32] b'Temperature: 28.7c | Humidity: 11.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:33] b'Temperature: 28.7c | Humidity: 11.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:34] b'Temperature: 28.2c | Humidity: 11.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:29:34] b'Temperature: 28.4c | Humidity: 11.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
